time,mouseX,mouseY,mouseClickAmount,uuid,uuidType,fps,drawCalls,entities,pointAmount,linesAmount,polyAmount,pointsAmount,voronoiTime,delaunayTime,M
0.66156,243,165,0,0,-1,586.695,0,0,0,0,0,0,0,0,0
0.663187,243,165,0,0,-1,594.133,0,0,0,0,0,0,0,0,0
0.664878,243,165,0,0,-1,586.348,0,0,0,0,0,0,0,0,0
0.666652,243,165,0,0,-1,570.734,0,0,0,0,0,0,0,0,0
0.668355,243,165,0,0,-1,612.947,0,0,0,0,0,0,0,0,0
0.669901,243,165,0,0,-1,624.373,0,0,0,0,0,0,0,0,0
0.671658,243,165,0,0,-1,550.438,0,0,0,0,0,0,0,0,0
0.673456,243,165,0,0,-1,591.664,0,0,0,0,0,0,0,0,0
0.675138,243,165,0,0,-1,567.308,0,0,0,0,0,0,0,0,0
0.676791,243,165,0,0,-1,596.193,0,0,0,0,0,0,0,0,0
0.678549,243,165,0,0,-1,600.796,0,0,0,0,0,0,0,0,0
0.680166,243,165,0,0,-1,582.552,0,0,0,0,0,0,0,0,0
0.681939,243,165,0,0,-1,585.946,0,0,0,0,0,0,0,0,0
0.683568,243,165,0,0,-1,582.951,0,0,0,0,0,0,0,0,0
0.685317,243,165,0,0,-1,603.177,0,0,0,0,0,0,0,0,0
0.686948,243,165,0,0,-1,590.297,0,0,0,0,0,0,0,0,0
0.688623,243,165,0,0,-1,579.04,0,0,0,0,0,0,0,0,0
0.690372,243,165,0,0,-1,632.61,0,0,0,0,0,0,0,0,0
0.692133,243,165,0,0,-1,545.467,0,0,0,0,0,0,0,0,0
0.693686,243,165,0,0,-1,607.585,0,0,0,0,0,0,0,0,0
0.695453,243,165,0,0,-1,605.3,0,0,0,0,0,0,0,0,0
0.697204,243,165,0,0,-1,562.906,0,0,0,0,0,0,0,0,0
0.698811,243,165,0,0,-1,591.314,0,0,0,0,0,0,0,0,0
0.700536,243,165,0,0,-1,595.346,0,0,0,0,0,0,0,0,0
0.702223,243,165,0,0,-1,608.281,0,0,0,0,0,0,0,0,0
0.703863,243,165,0,0,-1,617.565,0,0,0,0,0,0,0,0,0
0.705665,243,165,0,0,-1,532.837,0,0,0,0,0,0,0,0,0
0.707353,243,165,0,0,-1,614.039,0,0,0,0,0,0,0,0,0
0.708993,243,165,0,0,-1,597.47,0,0,0,0,0,0,0,0,0
0.710691,243,165,0,0,-1,575.462,0,0,0,0,0,0,0,0,0
0.712482,243,165,0,0,-1,581.722,0,0,0,0,0,0,0,0,0
0.714112,243,165,0,0,-1,590.834,0,0,0,0,0,0,0,0,0
0.715764,243,165,0,0,-1,589.442,0,0,0,0,0,0,0,0,0
0.717543,243,165,0,0,-1,598.223,0,0,0,0,0,0,0,0,0
0.719198,243,165,0,0,-1,592.971,0,0,0,0,0,0,0,0,0
0.72094,243,165,0,0,-1,574.432,0,0,0,0,0,0,0,0,0
0.722512,243,165,0,0,-1,625.028,0,0,0,0,0,0,0,0,0
0.72435,243,165,0,0,-1,566.545,0,0,0,0,0,0,0,0,0
0.725954,243,165,0,0,-1,611.32,0,0,0,0,0,0,0,0,0
0.727634,243,165,0,0,-1,567.001,0,0,0,0,0,0,0,0,0
0.729396,243,165,0,0,-1,607.844,0,0,0,0,0,0,0,0,0
0.731151,243,165,0,0,-1,554.021,0,0,0,0,0,0,0,0,0
0.732752,243,165,0,0,-1,599.137,0,0,0,0,0,0,0,0,0
0.734541,243,165,0,0,-1,593.319,0,0,0,0,0,0,0,0,0
0.73626,243,165,0,0,-1,588.584,0,0,0,0,0,0,0,0,0
0.737961,243,165,0,0,-1,580.702,0,0,0,0,0,0,0,0,0
0.739625,243,165,0,0,-1,582.729,0,0,0,0,0,0,0,0,0
0.741307,243,165,0,0,-1,611.226,0,0,0,0,0,0,0,0,0
0.743018,243,165,0,0,-1,589.853,0,0,0,0,0,0,0,0,0
0.744709,243,165,0,0,-1,566.145,0,0,0,0,0,0,0,0,0
